Rank	CNG	Prospect	College	P1	Ht	Wt	Elig	DR
226	--	Khari Coleman	Ole Miss	OLB	6'1"	213	SR	
227	--	Zakhari Franklin	Illinois	WR	6'1"	190	RSR	
228	--	C.J. Dippre	Alabama	TE	6'4"	257	SR	SR
229	--	Tyreem Powell	Rutgers	ILB	6'5"	252	SR	SR
230	player up arrow ranking+10	Eric Gregory	Arkansas	DL3T	6'4"	320	RSR	SH
231	player up arrow ranking+30	Drew Kendall	Boston College	OC	6'4"	299	RJR	SH
232	player up arrow ranking+20	Joe Evans	UTSA	DL1T	6'3"	335	RSR	SH
233	--	Collin Oliver	Oklahoma State	OLB	6'2"	235	SR	SR
234	player up arrow ranking+15	Ahmed Hassanein	Boise State	EDGE	6'3"	271	SR	SH
235	--	Will Sheppard	Colorado	WR	6'3"	200	SR	SH
236	--	Chase Lundt	UConn	OT	6'8"	305	RSR	SR
237	player up arrow ranking+40	Kaytron Allen	Penn State	RB	5'11"	229	JR	
238	player up arrow ranking+50	Kaden Prather	Maryland	WR	6'3"	212	SR	SH
239	--	Jacob Parrish	Kansas State	CBN	5'10"	183	JR	SR
240	--	Jeremy Crawshaw	Florida	P	6'4'	205	SR	
241	--	Brashard Smith	SMU	RB	5'10"	196	SR	SR
242	--	Shemar James	Florida	ILB	6'1"	230	JR	SR
243	--	Ryan Fitzgerald	Florida State	PK	6'1"	190	RSR	SR
244	--	Korie Black	Oklahoma State	CB	6'0"	190	SR	DRO
245	--	Nick Nash	San Jose State	WR	6'2"	195	RSR	SH
246	--	Cody Simon	Ohio State	OLB	6'2"	235	SR	
247	--	Omari Thomas	Tennessee	DL1T	6'4"	320	RSR	DRO
248	player up arrow ranking+15	Barryn Sorrell	Texas	EDGE	6'4"	260	SR	SR
249	--	Caleb Ransaw	Tulane	CB	5'11"	194	JR	SR
250	player up arrow ranking+50	Logan Brown	Kansas	OT	6'6"	315	RJR	SR
251	--	Josh Fryar	Ohio State	OT	6'6"	313	RSR	
252	--	Alex Mastromanno	Florida State	P	6'1"	241	RSR	HU
253	--	Eugene Asante	Auburn	OLB	6'1"	222	SR	SR
254	--	Kenneth Almendares	Louisiana	PK	6'2"	252	RSR	
255	--	Corey Kiner	Cincinnati	RB	5'9"	212	SR	SH
256	--	Jager Burton	Kentucky	OG	6'3"	307	RJR	
257	player up arrow ranking+10	C.J. West	Indiana	DL1T	6'2"	317	RSR	SH
